Title,Category,DRC Platform,Runtime,Genres,Director,Watch Link,IMDB,TMDB,Overview,Price (Rent),Price (Buy),TMDB Confidence
A Lifetime of Love,Feature Films (70+ min),,87,"Romance, Drama, Family",An Jiaxing,,,https://www.themoviedb.org/movie/1629475,Fang Yimiao is a 23-year-old woman standing at the fragile edge of her life. Xiang Taiyang is a reclusive and eccentric 60-year-old man who believes h,,,
Abel Ernest Tembo's Suspect,Feature Films (70+ min),,92,"Action, Crime, Thriller",Abel Ernest Tembo,,https://www.imdb.com/title/tt31638629/,https://www.themoviedb.org/movie/1409643,"Inspector Joseph Kimball Kobé and his team investigate a mysterious cult of serial killers calling themselves ""the lost souls."" They are determined to",,,
Brooker,Feature Films (70+ min),filmmaker_site,91,Adventure,Gary Leo Miller,http://brookermovie.com,https://www.imdb.com/title/tt36881788/,https://www.themoviedb.org/movie/1630747,"Marshall Brooker is a relic hunter for hire. On his latest job, he discovers an ancient mask that seems to possess supernatural powers. Instead of tur",,,
"Coexistence, My Ass!",Feature Films (70+ min),filmmaker_site,95,Documentary,Amber Fares,http://www.coexistencemyass.com,https://www.imdb.com/title/tt34964219/,https://www.themoviedb.org/movie/1400791,Noam Shuster Eliassi grew up the literal poster child for the Israeli-Palestinian peace process before making a hard pivot to stand-up comedy and poli,,,
Fantasy Rising,Feature Films (70+ min),,125,Documentary,,,,https://www.themoviedb.org/movie/1631302,The definitive story of the fantasy genre's journey to the heart of popular culture.,,,
Geomancer,Feature Films (70+ min),,72,"Fantasy, Action",Joshua Chan,,,https://www.themoviedb.org/movie/1622972,"When a border village is destroyed and its people turned into shadow soldiers, reclusive prodigy Bai Yinchuan must navigate deadly conspiracies and su",,,
Gerta Schnirch,Feature Films (70+ min),filmmaker_site,170,Drama,Tomáš Mašín,https://tomasmasin.cz/project/gerta-schnirch/,https://www.imdb.com/title/tt36941840/,https://www.themoviedb.org/movie/1628082,"Gerta grows up in 1930s Brno in a mixed Czech-German family, which brings her into conflict with her father as he embraces Nazi ideology. Despite this",,,
La vida era más corta: el documental,Feature Films (70+ min),,76,,Ramiro Weileras,,,https://www.themoviedb.org/movie/1632137,Calling 'La vida era más corta' by Milo J one of the best albums of 2025 is an understatement; we need to talk more about the human need it responds t,,,
meppets,Feature Films (70+ min),,71,"Documentary, Comedy",Phoebe Link,,,https://www.themoviedb.org/movie/1626618,who will i meep next?  12 months of puppet making condensed into a single film.,,,
Owl Hunt Storm,Feature Films (70+ min),,87,"Action, War",Jiang Kaiyang,,,https://www.themoviedb.org/movie/1627535,,,,
"OZ Academy OZ30th & OZAKI40th ""Sakimidareru Wa Hokori""",Feature Films (70+ min),,151,"Drama, Action",,,,https://www.themoviedb.org/movie/1631612,OZ Academy OZ30th & OZAKI40th was a show put on by Oz Academy on 2.8.26 to celebrate the 30th anniversary of Oz Academy and 40th anniversary of Ozaki ,,,
Piggy All Aces: Rogue Order,Feature Films (70+ min),,122,"Adventure, Animation, Thriller",DoggoAnimates,,https://www.imdb.com/title/tt38984003/,https://www.themoviedb.org/movie/1631635,"Taking places after the events of the hit zombie apocalypse game Piggy, created by Minitoon and IK3AS, Willow and Tigry have split their ways over rea",,,
Reckless,Feature Films (70+ min),,91,"Action, Comedy, Crime, Thriller",Elliott Montello,,https://www.imdb.com/title/tt34706535/,https://www.themoviedb.org/movie/1449400,A former convict on parole must outwit the police to get his share of an old heist.,,,
Rivals: The 4 Nations Face-Off,Feature Films (70+ min),filmmaker_site,89,Documentary,Yon Motskin,https://gem.cbc.ca/rivals-the-4-nations-face-off,https://www.imdb.com/title/tt39151176/,https://www.themoviedb.org/movie/1629292,"In early February 2025, the world’s top hockey nations, including Canada, Finland, Sweden and the U.S., came together to pit their best players  again",,,
Sagaran,Feature Films (70+ min),,70,Drama,Sid T. Pascua,,https://www.imdb.com/title/tt39376926/,https://www.themoviedb.org/movie/1627792,"As female motorcycle racer Mica and her mechanic boyfriend Migo join a motor shop's team, they try to navigate a new set of complicated relationships ",,,
The Moment,Feature Films (70+ min),filmmaker_site,76,Documentary,Kristen Lappas,https://tubitv.com/movies/100052785/the-moment,https://www.imdb.com/title/tt39223224/,https://www.themoviedb.org/movie/1630468,"From early pioneers to today’s sellout run, trace the 50-year rise of women’s hoops to coach Dawn Staley and her champion South Carolina Gamecocks.",,,
Unintended Consequences,Feature Films (70+ min),filmmaker_site,96,Drama,Richard Polite,https://www.maverickentertainment.cc/movies/unintended-consequences,https://www.imdb.com/title/tt37751129/,https://www.themoviedb.org/movie/1628468,A self-absorbed and ill-equipped father struggles to reconnect with his estranged and embittered son following his discovery of his affair with anothe,,,
