Title,Category,DRC Platform,Runtime,Genres,Director,Watch Link,IMDB,TMDB,Overview,Price (Rent),Price (Buy),TMDB Confidence
119 Emergency Call 2026 YOKOHAMA BLACKOUT,Feature Films (70+ min),,103,Drama,Naruhide Mizuta,,,https://www.themoviedb.org/movie/1609606,"New Year SP set one year after the series: at Yokohama City Fire Dept.’s command center on New Year’s holiday, an AI dispatcher plan sparks debate, th",,,
2025.mov,Feature Films (70+ min),,132,Documentary,Sascha Dagneaud,,,https://www.themoviedb.org/movie/1582134,one year of teenage life on vhs tape,,,
"86 printemps, Jean-Luc Godard",Feature Films (70+ min),youtube,89,Documentary,Jean-Baptiste Thoret,https://www.youtube.com/watch?v=nutI41137p4,https://www.imdb.com/title/tt39314801/,https://www.themoviedb.org/movie/1609339,"Documentary film about (and featuring) Jean-Luc Godard, shot in Rolle, Switzerland, in January 2017.",,,
A Super Progressive Movie,Feature Films (70+ min),filmmaker_site,86,"Animation, Comedy",Sebastian Peart,http://superprogressivemovie.com/,https://www.imdb.com/title/tt39045499/,https://www.themoviedb.org/movie/1585580,"When their rainbow malfunctions, four progressives journey beyond the insulated “Naarm Bubble” into a real world led by Prime Minister Pauline Hanson,",,,
A Very Good Boy,Feature Films (70+ min),,87,Documentary,Sébastien Lifshitz,,https://www.imdb.com/title/tt38799105/,https://www.themoviedb.org/movie/1596222,"From his childhood in a modest family in the Pyrénées to his unexpected career as a porn actor in the 1970s, the film traces the life of Claude Loir, ",,,
A World Gone Mad - The War Diaries of Astrid Lindgren,Feature Films (70+ min),,98,Documentary,Wilfried Hauke,,https://www.imdb.com/title/tt36959507/,https://www.themoviedb.org/movie/1494498,"“Pippi Longstocking“ has been translated into 70 languages and sold more than 60 million copies. The film tells the story of her “mother“, famous Swed",,,
A Year in The Life at MKBHD.,Feature Films (70+ min),youtube,89,,Eric Villa,https://www.youtube.com/watch?v=HZvj8T5_oUE&lc=,,https://www.themoviedb.org/movie/1626570,We recorded... everything,,,
Aatka,Feature Films (70+ min),filmmaker_site,100,"Horror, Comedy, Family, Drama",Arafat Mohsin Nidhi,https://www.chorki.com/series/aatka,https://www.imdb.com/title/tt39320601/,https://www.themoviedb.org/movie/1488911,"After his grandmother’s death, finance graduate Fayaz returns to Bangladesh. Torn between family expectations and his dream of opening a salon, he mov",,,
Addition,Feature Films (70+ min),,91,Drama,Marcelle Lunam,,https://www.imdb.com/title/tt27722524/,https://www.themoviedb.org/movie/1326036,"Numbers are everything to Grace Lisa Vandenburg. The life of Grace, a Melbourne-based mathematician, is largely governed by her arithmomania, an obses",,,
AJR: Live from the Hollywood Bowl,Feature Films (70+ min),,95,"Music, Documentary",Thomas Kirk,,,https://www.themoviedb.org/movie/1609488,Step inside AJR’s spectacular Somewhere in the Sky Tour as their sold-out performance from the iconic Hollywood Bowl comes to life in this special liv,,,
Alias,Feature Films (70+ min),,122,Family,Jay Edwards,,,https://www.themoviedb.org/movie/1630628,"Alias, a lovable green Pure, embarks on a rescue mission to save his friends and to secure the stolen jewelry of his People.",,,
Andre,Feature Films (70+ min),,80,"Comedy, Drama",Spencer Levy,,,https://www.themoviedb.org/movie/1569967,"Andre inherits a small fortune, which pushes him into a series of surreal and aimless encounters with eccentric strangers.",,,
Baby Girl,Feature Films (70+ min),,126,"Drama, Thriller",Arun Raj Varma,,https://www.imdb.com/title/tt35288598/,https://www.themoviedb.org/movie/1101020,"It was a special day in hospital attendant Sanal’s life: his wife, who had been working abroad for many years was finally coming home to be with him a",,,
Bagong Tukso,Feature Films (70+ min),,70,Drama,Rodante Pajemna Jr.,,https://www.imdb.com/title/tt39305430/,https://www.themoviedb.org/movie/1614061,"Meet the freshest faces of VMX! Apphle Celso, Margaret Diaz, Heart Fox, and Allison Ross turn up the heat, bare fantasies, and tease you into an unfor",,,
biarkan aku ganti,Feature Films (70+ min),,79,Horror,mandy boonstra,,,https://www.themoviedb.org/movie/1622520,a woman experiences the same day...but is it a time loop?,,,
Bight,Feature Films (70+ min),,93,"Drama, Horror, Thriller",Maiara Walsh,,https://www.imdb.com/title/tt33320124/,https://www.themoviedb.org/movie/1351772,"Two couples' daring foray into open relationships leads down a tumultuous path of jealousy, betrayal, and emotional devastation.",,,
Blackout,Feature Films (70+ min),,80,"Action, Thriller",LeeAnne Bauer,,https://www.imdb.com/title/tt34673881/,https://www.themoviedb.org/movie/1624183,"After a nuclear strike devastates California, a group of veterans and criminals trapped in a warehouse must fight to survive marauders, radiation, and",,,
Blood and Betrayal,Feature Films (70+ min),,87,Crime,Rowland Cutts,,https://www.imdb.com/title/tt36095172/,https://www.themoviedb.org/movie/1587153,"A thriving restaurant and a crime lord-when passion and revenge intertwine, love can be just as deadly as a loaded gun. Eva is married to the owner of",,,
Border 2,Feature Films (70+ min),,199,"Action, Drama, War",Anurag Singh,,https://www.imdb.com/title/tt30387012/,https://www.themoviedb.org/movie/1213898,"During the events of the 1971 Indo-Pak war, a new generation of young Indian warriors were getting ready to defend the nation from an even bigger thre",,,
Breast Friends Forever,Feature Films (70+ min),,86,Comedy,Easy Ferrer,,https://www.imdb.com/title/tt39240269/,https://www.themoviedb.org/movie/1597535,Beauty-and-breasts besties Astrid Lee and Audrey Avila team up with sharp-tongued detective and comedy legend Janno Gibbs to solve the hilarious case ,,,
Breastfriends Forever,Feature Films (70+ min),,86,Comedy,Easy Ferrer,,,https://www.themoviedb.org/movie/1613395,Beauty-and-breasts besties Astrid Lee and Audrey Avila team up with sharp-tongued detective and comedy legend Janno Gibbs to solve the hilarious case ,,,
Broken Bonds,Feature Films (70+ min),filmmaker_site,109,"Thriller, Mystery, Crime",David Y. Chung,https://tubitv.com/movies/100046436/broken-bonds,https://www.imdb.com/title/tt37986437/,https://www.themoviedb.org/movie/1608230,"After witnessing a fatal shootout, three struggling waitresses hide a bag of illicit cash, forcing them into a perilous web of betrayal and survival.",,,
Bulls,Feature Films (70+ min),filmmaker_site,89,Comedy,Daniel Meyer,http://www.bullsthemovie.com/,https://www.imdb.com/title/tt22335734/,https://www.themoviedb.org/movie/1480860,Two down-on-their-luck half-brothers run a failing dive bar in Indiana and get a shot at taking on England’s elite darts champions.,,,
Cabaret Absinthe,Feature Films (70+ min),,71,,Cosmotropia de Xam,,https://www.imdb.com/title/tt39309505/,https://www.themoviedb.org/movie/1625273,"In the Emerald City, two conjoined sisters, cabaret dancers Ligéia and Séraphine, drift between dimensions, sustained by the visions of a witch-mother",,,
Camp Blood Legacy,Feature Films (70+ min),,70,Horror,Dustin Ferguson,,,https://www.themoviedb.org/movie/1616575,"A group of college friends run into the infamous killer clown at Camp Black Tree as he slices and dices his way through them. One year later, the sole",,,
CFNY: The Spirit of Radio,Feature Films (70+ min),,86,Documentary,Matt Schichter,,https://www.imdb.com/title/tt22941170/,https://www.themoviedb.org/movie/1433492,"In 1976, CFNY launched in a small suburban house just north of Toronto and went on to become one of the most influential punk, new wave and alternativ",,,
Claim Me,Feature Films (70+ min),,70,Drama,Topel Lee,,https://www.imdb.com/title/tt39283969/,https://www.themoviedb.org/movie/1597538,Cess Garcia and VMX’s next big thing Dara Lima star in a steamy drama about two sisters and the man who sparks their sensual awakening. A female lawye,,,
Closure,Feature Films (70+ min),,105,Documentary,Michał Marczak,,https://www.imdb.com/title/tt39075417/,https://www.themoviedb.org/movie/1596319,"After his teenage son goes missing, Daniel scours the depths of the Vistula River, torn between the dread of a fatal leap and the hope that his son ma",,,
Cojo Feliz: La Peor Pluma de México,Feature Films (70+ min),,75,Comedy,Hugo 'El Cojo Feliz',,,https://www.themoviedb.org/movie/1630743,,,,
COUNTDOWN CONCERT 2025-2026 STARTO to MOVE,Feature Films (70+ min),,126,Music,,,,https://www.themoviedb.org/movie/1612969,Twelve groups from STARTO ENTERTAINMENT hold their first countdown concert at Tokyo Dome in three years.,,,
Death Cipher,Feature Films (70+ min),,95,"Thriller, Mystery",Wade Patterson,,https://www.imdb.com/title/tt32643843/,https://www.themoviedb.org/movie/1491827,A disgraced journalist makes a horrifying discovery about an online puzzle that causes people to disappear.,,,
Death Name,Feature Films (70+ min),,82,"Horror, TV Movie",Réi,,https://www.imdb.com/title/tt32213976/,https://www.themoviedb.org/movie/1471317,"A young Korean American woman yearns to learn more about her heritage, not knowing the further she digs, the more she reawakens a deadly family curse.",,,
Demon Hunters,Feature Films (70+ min),,97,"Horror, Adventure",Lance Kawas,,,https://www.themoviedb.org/movie/1612923,"In the blistering desert stands Dee's Money Pit, a strip club where sinners come to drink—and die. When two bikers cross the wrong dancers, their slau",,,
