title,year,tmdb_id,rt_url,digital_date
Harvest,2025,,https://www.rottentomatoes.com/search?search=Harvest%202025,2025-08-08
War of the Worlds,2025,,https://www.rottentomatoes.com/search?search=War%20of%20the%20Worlds%202025,2025-07-29
Superman,2025,,https://www.rottentomatoes.com/search?search=Superman%202025,2025-08-14
Jurassic World Rebirth,2025,,https://www.rottentomatoes.com/search?search=Jurassic%20World%20Rebirth%202025,2025-08-04
Osiris,2025,,https://www.rottentomatoes.com/search?search=Osiris%202025,2025-07-25
How to Train Your Dragon,2025,,https://www.rottentomatoes.com/search?search=How%20to%20Train%20Your%20Dragon%202025,2025-07-14
Smurfs,2025,,https://www.rottentomatoes.com/search?search=Smurfs%202025,2025-08-11
The Pickup,2025,,https://www.rottentomatoes.com/search?search=The%20Pickup%202025,2025-08-05
Night Carnage,2025,,https://www.rottentomatoes.com/search?search=Night%20Carnage%202025,2025-07-29
The Bad Guys 2,2025,,https://www.rottentomatoes.com/search?search=The%20Bad%20Guys%202%202025,2025-08-18
KPop Demon Hunters,2025,,https://www.rottentomatoes.com/search?search=KPop%20Demon%20Hunters%202025,2025-06-19
M3GAN 2.0,2025,,https://www.rottentomatoes.com/search?search=M3GAN%202.0%202025,2025-07-14
Night Always Comes,2025,,https://www.rottentomatoes.com/search?search=Night%20Always%20Comes%202025,2025-08-14
My Oxford Year,2025,,https://www.rottentomatoes.com/search?search=My%20Oxford%20Year%202025,2025-07-31
Elio,2025,,https://www.rottentomatoes.com/search?search=Elio%202025,2025-08-18
Ballerina,2025,,https://www.rottentomatoes.com/search?search=Ballerina%202025,2025-06-30
Shaman,2025,,https://www.rottentomatoes.com/search?search=Shaman%202025,2025-08-08
28 Years Later,2025,,https://www.rottentomatoes.com/search?search=28%20Years%20Later%202025,2025-07-28
Ice Road: Vengeance,2025,,https://www.rottentomatoes.com/search?search=Ice%20Road%3A%20Vengeance%202025,2025-06-30
Eddington,2025,,https://www.rottentomatoes.com/search?search=Eddington%202025,2025-08-12
Happy Gilmore 2,2025,,https://www.rottentomatoes.com/search?search=Happy%20Gilmore%202%202025,2025-07-24
Site,2025,,https://www.rottentomatoes.com/search?search=Site%202025,2025-08-08
Bride Hard,2025,,https://www.rottentomatoes.com/search?search=Bride%20Hard%202025,2025-09-20
F1,2025,,https://www.rottentomatoes.com/search?search=F1%202025,2025-08-22
Bring Her Back,2025,,https://www.rottentomatoes.com/search?search=Bring%20Her%20Back%202025,2025-06-30
Materialists,2025,,https://www.rottentomatoes.com/search?search=Materialists%202025,2025-07-21
