title,year,imdb_id,tmdb_id,rt_url,digital_date,has_providers
Harvest,2025,,,https://www.rottentomatoes.com/search?search=Harvest%202025,2025-08-08,True
War of the Worlds,2025,,,https://www.rottentomatoes.com/search?search=War%20of%20the%20Worlds%202025,2025-07-29,True
Superman,2025,,,https://www.rottentomatoes.com/search?search=Superman%202025,2025-08-14,True
Jurassic World Rebirth,2025,,,https://www.rottentomatoes.com/search?search=Jurassic%20World%20Rebirth%202025,2025-08-04,True
Osiris,2025,,,https://www.rottentomatoes.com/search?search=Osiris%202025,2025-07-25,True
How to Train Your Dragon,2025,,,https://www.rottentomatoes.com/search?search=How%20to%20Train%20Your%20Dragon%202025,2025-07-14,True
Smurfs,2025,,,https://www.rottentomatoes.com/search?search=Smurfs%202025,2025-08-11,True
The Pickup,2025,,,https://www.rottentomatoes.com/search?search=The%20Pickup%202025,2025-08-05,True
Night Carnage,2025,,,https://www.rottentomatoes.com/search?search=Night%20Carnage%202025,2025-07-29,True
The Bad Guys 2,2025,,,https://www.rottentomatoes.com/search?search=The%20Bad%20Guys%202%202025,2025-08-18,True
KPop Demon Hunters,2025,,,https://www.rottentomatoes.com/search?search=KPop%20Demon%20Hunters%202025,2025-06-19,True
M3GAN 2.0,2025,,,https://www.rottentomatoes.com/search?search=M3GAN%202.0%202025,2025-07-14,True
Night Always Comes,2025,,,https://www.rottentomatoes.com/search?search=Night%20Always%20Comes%202025,2025-08-14,True
My Oxford Year,2025,,,https://www.rottentomatoes.com/search?search=My%20Oxford%20Year%202025,2025-07-31,True
Elio,2025,,,https://www.rottentomatoes.com/search?search=Elio%202025,2025-08-18,True
Ballerina,2025,,,https://www.rottentomatoes.com/search?search=Ballerina%202025,2025-06-30,True
Shaman,2025,,,https://www.rottentomatoes.com/search?search=Shaman%202025,2025-08-08,True
28 Years Later,2025,,,https://www.rottentomatoes.com/search?search=28%20Years%20Later%202025,2025-07-28,True
Ice Road: Vengeance,2025,,,https://www.rottentomatoes.com/search?search=Ice%20Road%3A%20Vengeance%202025,2025-06-30,True
Eddington,2025,,,https://www.rottentomatoes.com/search?search=Eddington%202025,2025-08-12,True
Happy Gilmore 2,2025,,,https://www.rottentomatoes.com/search?search=Happy%20Gilmore%202%202025,2025-07-24,True
Site,2025,,,https://www.rottentomatoes.com/search?search=Site%202025,2025-08-08,True
Bride Hard,2025,,,https://www.rottentomatoes.com/search?search=Bride%20Hard%202025,2025-09-20,True
F1,2025,,,https://www.rottentomatoes.com/search?search=F1%202025,2025-08-22,True
Bring Her Back,2025,,,https://www.rottentomatoes.com/search?search=Bring%20Her%20Back%202025,2025-06-30,True
Materialists,2025,,,https://www.rottentomatoes.com/search?search=Materialists%202025,2025-07-21,True
Abraham's Boys,2025,,,https://www.rottentomatoes.com/search?search=Abraham%27s%20Boys%202025,2025-08-05,True
Heads of State,2025,,,https://www.rottentomatoes.com/search?search=Heads%20of%20State%202025,2025-07-01,True
Almost Cops,2025,,,https://www.rottentomatoes.com/search?search=Almost%20Cops%202025,2025-07-10,True
The Old Guard 2,2025,,,https://www.rottentomatoes.com/search?search=The%20Old%20Guard%202%202025,2025-07-01,True
Dangerous Animals,2025,,,https://www.rottentomatoes.com/search?search=Dangerous%20Animals%202025,2025-07-22,True
Snoopy Presents: A Summer Musical,2025,,,https://www.rottentomatoes.com/search?search=Snoopy%20Presents%3A%20A%20Summer%20Musical%202025,2025-08-14,True
Fixed,2025,,,https://www.rottentomatoes.com/search?search=Fixed%202025,2025-08-12,True
Sorority,2025,,,https://www.rottentomatoes.com/search?search=Sorority%202025,2025-06-20,True
Kalakal,2025,,,https://www.rottentomatoes.com/search?search=Kalakal%202025,2025-06-13,True
Predator: Killer of Killers,2025,,,https://www.rottentomatoes.com/search?search=Predator%3A%20Killer%20of%20Killers%202025,2025-06-05,True
Dora and the Search for Sol Dorado,2025,,,https://www.rottentomatoes.com/search?search=Dora%20and%20the%20Search%20for%20Sol%20Dorado%202025,2025-07-02,True
Stolen: Heist of the Century,2025,,,https://www.rottentomatoes.com/search?search=Stolen%3A%20Heist%20of%20the%20Century%202025,2025-08-07,True
Almost Family,2025,,,https://www.rottentomatoes.com/search?search=Almost%20Family%202025,2025-07-17,True
Z-O-M-B-I-E-S 4: Dawn of the Vampires,2025,,,https://www.rottentomatoes.com/search?search=Z-O-M-B-I-E-S%204%3A%20Dawn%20of%20the%20Vampires%202025,2025-07-10,True
Wall to Wall,2025,,,https://www.rottentomatoes.com/search?search=Wall%20to%20Wall%202025,2025-07-17,True
Saiyaara,2025,,,https://www.rottentomatoes.com/search?search=Saiyaara%202025,2025-09-12,True
STRAW,2025,,,https://www.rottentomatoes.com/search?search=STRAW%202025,2025-06-05,True
The Occupant,2025,,,https://www.rottentomatoes.com/search?search=The%20Occupant%202025,2025-08-08,True
Ziam,2025,,,https://www.rottentomatoes.com/search?search=Ziam%202025,2025-07-08,True
Deep Cover,2025,,,https://www.rottentomatoes.com/search?search=Deep%20Cover%202025,2025-06-11,True
The Edge,2025,,,https://www.rottentomatoes.com/search?search=The%20Edge%202025,2025-06-04,True
An Honest Life,2025,,,https://www.rottentomatoes.com/search?search=An%20Honest%20Life%202025,2025-07-30,True
