kind,provider,count
buy,Amazon Video,93
buy,Apple TV,87
buy,Google Play Movies,80
buy,YouTube,78
buy,Fandango At Home,74
buy,FlixFling,2
flatrate,Netflix,46
flatrate,Netflix Standard with Ads,46
flatrate,Amazon Prime Video,15
flatrate,Amazon Prime Video with Ads,15
flatrate,Disney Plus,8
flatrate,Hulu,7
flatrate,HBO Max,5
flatrate,HBO Max Amazon Channel,5
flatrate,Philo,4
flatrate,fuboTV,4
flatrate,AMC Plus Apple TV Channel,3
flatrate,AMC+ Amazon Channel,3
flatrate,Apple TV Plus Amazon Channel,3
flatrate,Apple TV+,3
flatrate,Crunchyroll Amazon Channel,3
flatrate,Shudder,3
flatrate,Shudder Amazon Channel,3
flatrate,Shudder Apple TV Channel,3
flatrate,AMC+,2
flatrate,Crunchyroll,2
flatrate,MUBI,2
flatrate,MUBI Amazon Channel,2
flatrate,Peacock Premium,2
flatrate,Peacock Premium Plus,2
flatrate,Discovery +,1
flatrate,Discovery+ Amazon Channel,1
flatrate,Fandor Amazon Channel,1
flatrate,Great American Pure Flix Amazon Channel,1
flatrate,Hoichoi,1
flatrate,Paramount Plus,1
flatrate,Paramount+ Amazon Channel,1
flatrate,Paramount+ Roku Premium Channel,1
flatrate,Pure Flix,1
flatrate,Shahid VIP,1
rent,Amazon Video,89
rent,Apple TV,83
rent,Google Play Movies,75
rent,YouTube,74
rent,Fandango At Home,68
rent,Plex,38
rent,Spectrum On Demand,14
rent,FlixFling,7
